pokemon,role,dmg_type,burst,burst_build,dps,dps_build
Empoleon,All-Rounder,Special,4817,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,1015,wise_glasses+choice_specs+shell_bell / max_sp_atk
Espeon,Attacker,Special,2612,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,453,wise_glasses+choice_specs+shell_bell / max_sp_atk
Falinks,All-Rounder,Physical,3763,muscle_band+attack_weight+float_stone / max_attack,803,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Feraligatr,All-Rounder,Physical,4771,muscle_band+attack_weight+float_stone / max_attack,1300,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Garchomp,All-Rounder,Physical,2378,muscle_band+attack_weight+float_stone / max_attack,710,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Gardevoir,Attacker,Special,3208,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,528,wise_glasses+choice_specs+shell_bell / max_sp_atk
Gengar,Speedster,Special,3051,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,566,wise_glasses+choice_specs+shell_bell / max_sp_atk
Glaceon,Attacker,Special,1313,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,347,wise_glasses+choice_specs+shell_bell / max_sp_atk
Greninja,Attacker,Physical,1861,muscle_band+attack_weight+float_stone / max_attack,596,muscle_band+float_stone+rapid_fire_scarf / max_attack
Gyarados,All-Rounder,Physical,4855,muscle_band+attack_weight+float_stone / max_attack,886,muscle_band+float_stone+rapid_fire_scarf / max_attack
Mega-Gyarados,All-Rounder,Physical,4583,muscle_band+attack_weight+float_stone / max_attack,886,muscle_band+float_stone+rapid_fire_scarf / max_attack
Inteleon,Attacker,Special,1210,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,319,wise_glasses+choice_specs+shell_bell / max_sp_atk
Latios,Attacker,Special,2065,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,384,wise_glasses+choice_specs+shell_bell / max_sp_atk
Leafeon,Speedster,Physical,8354,muscle_band+attack_weight+float_stone / max_attack,1427,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Lucario,All-Rounder,Physical,4629,muscle_band+attack_weight+float_stone / max_attack,837,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Mega-Lucario,All-Rounder,Physical,3646,muscle_band+attack_weight+float_stone / max_attack,837,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Machamp,All-Rounder,Physical,3064,muscle_band+attack_weight+float_stone / max_attack,772,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Meowscarada,Speedster,Physical,1499,muscle_band+razor_claw+float_stone / max_attack,591,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Meowth,Speedster,Physical,2924,muscle_band+attack_weight+float_stone / max_attack,850,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Metagross,All-Rounder,Physical,6087,muscle_band+attack_weight+float_stone / max_attack,1136,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Mew,Attacker,Special,2083,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,297,wise_glasses+choice_specs+shell_bell / max_sp_atk
MewtwoX,All-Rounder,Physical,2803,muscle_band+attack_weight+float_stone / max_attack,772,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
MewtwoY,Attacker,Special,2709,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,485,wise_glasses+choice_specs+shell_bell / max_sp_atk
Mimikyu,All-Rounder,Physical,2412,muscle_band+attack_weight+float_stone / max_attack,771,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Miraidon,Attacker,Special,5245,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,562,wise_glasses+choice_specs+shell_bell / max_sp_atk
Moltres,All-Rounder,Special,3224,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,574,wise_glasses+choice_specs+shell_bell / max_sp_atk
Ninetales,Attacker,Special,2099,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,333,wise_glasses+choice_specs+shell_bell / max_sp_atk
Pawmot,All-Rounder,Physical,7149,muscle_band+attack_weight+float_stone / max_attack,1122,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Pikachu,Attacker,Special,2566,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,454,choice_specs+shell_bell+energy_amplifier / max_sp_atk
Raichu,Attacker,Special,3679,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,516,wise_glasses+choice_specs+shell_bell / max_sp_atk
Rapidash,Speedster,Special,3923,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,655,wise_glasses+choice_specs+shell_bell / max_sp_atk
Scizor,All-Rounder,Physical,2250,muscle_band+attack_weight+float_stone / max_attack,713,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Scyther,All-Rounder,Physical,3958,muscle_band+attack_weight+float_stone / max_attack,931,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Sirfetchd,All-Rounder,Physical,4517,muscle_band+attack_weight+float_stone / max_attack,1081,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Skeledirge,Attacker,Special,4090,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,921,wise_glasses+choice_specs+shell_bell / max_sp_atk
Suicune,All-Rounder,Special,2120,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,368,wise_glasses+choice_specs+shell_bell / max_sp_atk
Sylveon,Attacker,Special,5070,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,1011,wise_glasses+choice_specs+shell_bell / max_sp_atk
Talonflame,Speedster,Physical,3636,muscle_band+attack_weight+float_stone / max_attack,971,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Tinkaton,All-Rounder,Physical,2138,muscle_band+attack_weight+float_stone / max_attack,576,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Tsareena,All-Rounder,Physical,3668,muscle_band+attack_weight+float_stone / max_attack,825,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Typhlosion,Attacker,Special,2394,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,447,wise_glasses+choice_specs+shell_bell / max_sp_atk
Tyranitar,All-Rounder,Physical,2805,muscle_band+attack_weight+float_stone / max_attack,737,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Urshifu,All-Rounder,Physical,4035,muscle_band+attack_weight+float_stone / max_attack,852,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Venusaur,Attacker,Special,2778,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,451,wise_glasses+choice_specs+shell_bell / max_sp_atk
Zacian,All-Rounder,Physical,5089,muscle_band+attack_weight+float_stone / max_attack,1007,muscle_band+float_stone+rapid_fire_scarf / max_attack
Zapdos,Attacker,Special,2410,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,424,wise_glasses+choice_specs+shell_bell / max_sp_atk
Zeraora,Speedster,Physical,2805,muscle_band+attack_weight+float_stone / max_attack,784,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Zoroark,Speedster,Physical,3852,muscle_band+attack_weight+float_stone / max_attack,1012,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
