pokemon,role,dmg_type,burst,burst_build,dps,dps_build
Dragonite,All-Rounder,Physical,10020,muscle_band+float_stone+rapid_fire_scarf / max_attack,1758,muscle_band+scope_lens+rapid_fire_scarf / max_attack
Duraludon,Attacker,Physical,4282,muscle_band+scope_lens+float_stone / max_attack,1384,muscle_band+scope_lens+float_stone / max_attack
Empoleon,All-Rounder,Special,5931,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,1495,wise_glasses+choice_specs+shell_bell / max_sp_atk
Espeon,Attacker,Special,4544,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,925,wise_glasses+choice_specs+shell_bell / max_sp_atk
Falinks,All-Rounder,Physical,4971,muscle_band+attack_weight+float_stone / max_attack,1445,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Feraligatr,All-Rounder,Physical,11825,muscle_band+attack_weight+float_stone / max_attack,2718,muscle_band+float_stone+rapid_fire_scarf / max_attack
Garchomp,All-Rounder,Physical,4823,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed,1370,muscle_band+scope_lens+rapid_fire_scarf / max_attack_speed
Gardevoir,Attacker,Special,7200,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,1008,wise_glasses+choice_specs+shell_bell / max_sp_atk
Gengar,Speedster,Special,6897,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,1764,wise_glasses+choice_specs+shell_bell / max_sp_atk
Glaceon,Attacker,Special,2771,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,928,wise_glasses+choice_specs+shell_bell / max_sp_atk
Greninja,Attacker,Physical,4799,muscle_band+scope_lens+float_stone / max_attack,1660,muscle_band+scope_lens+float_stone / max_attack
Gyarados,All-Rounder,Physical,9049,muscle_band+attack_weight+float_stone / max_attack,1873,muscle_band+razor_claw+float_stone / max_attack_speed
Mega-Gyarados,All-Rounder,Physical,5528,muscle_band+attack_weight+float_stone / max_attack,1374,muscle_band+razor_claw+float_stone / max_attack_speed
Inteleon,Attacker,Special,5636,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,1359,wise_glasses+choice_specs+shell_bell / max_sp_atk
Latios,Attacker,Special,3731,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,884,wise_glasses+choice_specs+shell_bell / max_sp_atk
Leafeon,Speedster,Physical,12905,muscle_band+attack_weight+float_stone / max_attack,2671,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Lucario,All-Rounder,Physical,5853,muscle_band+attack_weight+float_stone / max_attack,1216,muscle_band+scope_lens+float_stone / max_attack_speed
Mega-Lucario,All-Rounder,Physical,4282,muscle_band+attack_weight+float_stone / max_attack,1227,muscle_band+scope_lens+float_stone / max_attack_speed
Machamp,All-Rounder,Physical,4263,muscle_band+razor_claw+float_stone / max_attack,1237,muscle_band+scope_lens+rapid_fire_scarf / max_attack_speed
Meowscarada,Speedster,Physical,6757,muscle_band+razor_claw+float_stone / max_attack,2119,muscle_band+scope_lens+float_stone / max_attack_speed
Meowth,Speedster,Physical,6515,muscle_band+razor_claw+float_stone / max_attack,2060,muscle_band+scope_lens+float_stone / max_attack_speed
Metagross,All-Rounder,Physical,8389,muscle_band+attack_weight+float_stone / max_attack,1880,muscle_band+scope_lens+rapid_fire_scarf / max_attack_speed
Mew,Attacker,Special,2517,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,616,wise_glasses+choice_specs+shell_bell / max_sp_atk
MewtwoX,All-Rounder,Physical,4006,muscle_band+razor_claw+float_stone / max_attack,1250,muscle_band+scope_lens+razor_claw / max_attack_speed
MewtwoY,Attacker,Special,3849,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,803,wise_glasses+choice_specs+shell_bell / max_sp_atk
Mimikyu,All-Rounder,Physical,4194,muscle_band+attack_weight+float_stone / max_attack,1255,muscle_band+scope_lens+rapid_fire_scarf / max_attack_speed
Miraidon,Attacker,Special,8362,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,1073,wise_glasses+shell_bell+energy_amplifier / max_sp_atk
Moltres,All-Rounder,Special,4463,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,1122,wise_glasses+choice_specs+shell_bell / max_sp_atk
Ninetales,Attacker,Special,4775,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,908,wise_glasses+choice_specs+shell_bell / max_sp_atk
Pawmot,All-Rounder,Physical,11287,muscle_band+attack_weight+float_stone / max_attack,1940,muscle_band+scope_lens+float_stone / max_attack_speed
Pikachu,Attacker,Special,4267,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,847,wise_glasses+choice_specs+shell_bell / max_sp_atk
Quaquaval,All-Rounder,Physical,3729,muscle_band+scope_lens+float_stone / max_attack,1248,muscle_band+scope_lens+rapid_fire_scarf / max_attack_speed
Raichu,Attacker,Special,3103,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,619,wise_glasses+choice_specs+shell_bell / max_sp_atk
Rapidash,Speedster,Special,5998,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,1173,wise_glasses+choice_specs+shell_bell / max_sp_atk
Scizor,All-Rounder,Physical,3245,muscle_band+razor_claw+float_stone / max_attack,1130,muscle_band+scope_lens+rapid_fire_scarf / max_attack_speed
Scyther,All-Rounder,Physical,5573,muscle_band+razor_claw+float_stone / max_attack,1568,muscle_band+scope_lens+rapid_fire_scarf / max_attack_speed
Sirfetchd,All-Rounder,Physical,7272,muscle_band+attack_weight+float_stone / max_attack,1719,muscle_band+scope_lens+float_stone / max_attack_speed
Skeledirge,Attacker,Special,6998,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,1982,wise_glasses+choice_specs+shell_bell / max_sp_atk
Suicune,All-Rounder,Special,4537,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,931,wise_glasses+shell_bell+energy_amplifier / max_sp_atk
Sylveon,Attacker,Special,8373,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,1709,wise_glasses+shell_bell+energy_amplifier / max_sp_atk
Talonflame,Speedster,Physical,5947,muscle_band+scope_lens+float_stone / max_attack,1886,muscle_band+scope_lens+razor_claw / max_attack_speed
Tinkaton,All-Rounder,Physical,8493,muscle_band+attack_weight+float_stone / max_attack,1800,muscle_band+float_stone+rapid_fire_scarf / max_attack_speed
Tsareena,All-Rounder,Physical,6483,muscle_band+float_stone+rapid_fire_scarf / max_attack,1541,muscle_band+scope_lens+rapid_fire_scarf / max_attack
Typhlosion,Attacker,Special,3909,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,882,wise_glasses+choice_specs+shell_bell / max_sp_atk
Tyranitar,All-Rounder,Physical,4580,muscle_band+attack_weight+float_stone / max_attack,1242,muscle_band+scope_lens+rapid_fire_scarf / max_attack_speed
Urshifu,All-Rounder,Physical,6019,muscle_band+attack_weight+float_stone / max_attack,1375,muscle_band+scope_lens+rapid_fire_scarf / max_attack_speed
Venusaur,Attacker,Special,1999,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,517,wise_glasses+choice_specs+shell_bell / max_sp_atk
Zacian,All-Rounder,Physical,8293,muscle_band+attack_weight+float_stone / max_attack,1738,muscle_band+scope_lens+float_stone / max_attack_speed
Zapdos,Attacker,Special,7235,wise_glasses+choice_specs+sp_atk_specs / max_sp_atk,1803,wise_glasses+choice_specs+shell_bell / max_sp_atk
Zeraora,Speedster,Physical,6398,muscle_band+razor_claw+float_stone / max_attack,1858,muscle_band+scope_lens+float_stone / max_attack_speed
Zoroark,Speedster,Physical,5853,muscle_band+razor_claw+float_stone / max_attack,1884,muscle_band+scope_lens+rapid_fire_scarf / max_attack_speed
